Exchange Date,Close,Open,Low,High,Volume
2/26/2010,496.91,494.31,491.97,496.91,39283000
2/25/2010,494.99,497.5,493.73,500.24,28382000
2/24/2010,494.59,492.89,490.21,494.85,27433000
2/23/2010,496.29,504.52,496.29,504.52,27078000
2/22/2010,510.02,513.19,507.93,513.19,21165000
2/12/2010,507,505.34,504.78,508.72,23327000
2/11/2010,499.94,492.99,491.86,499.97,21908000
2/10/2010,490.91,486.86,486.86,491.17,19694000
2/9/2010,482.89,486.97,482.38,488.77,25213000
2/8/2010,491.2,488.86,487.72,491.65,21676000
2/5/2010,493.04,495.67,491.05,501.06,33688000
2/4/2010,503.83,496.25,496.02,504.35,36959000
2/3/2010,495.48,490.32,490.12,495.85,26569000
2/2/2010,487.93,489.62,486.24,490.86,27408000
2/1/2010,486.95,482.93,481.84,486.95,23138000
1/29/2010,481.96,481.49,477.11,484.15,26562000
1/28/2010,481.76,484.67,481.47,487.81,23073000
1/27/2010,486.41,496.86,486.41,498.2,33819000
1/26/2010,497.9,490.12,490.12,497.9,33762000
1/25/2010,480.91,476.75,476.75,481.04,21334000
1/22/2010,477.59,474.1,471.85,481.69,30076000
1/21/2010,478.42,481.97,477.8,489.47,41822000
1/20/2010,489.5,498.73,489.5,499.15,35904000
1/19/2010,495.51,489.84,489.77,498.1,33635000
1/18/2010,487.13,499.08,487.13,499.24,41419000
1/15/2010,505.42,509.19,503.29,512.63,37130000
1/14/2010,512.33,516.44,509.25,517.72,36055000
1/13/2010,508.61,495.72,485.75,508.61,55048000
1/12/2010,498.31,511.24,498.31,516.75,52738000
1/11/2010,515.06,522.78,512.15,524.06,44776000
1/8/2010,520.9,540.95,520.9,544.49,84715000
1/7/2010,533.34,536.78,530.68,540.77,75684000
1/6/2010,534.46,529.47,526.37,538.84,67364000
1/5/2010,532.53,529.23,529.23,539.39,70051000
1/4/2010,517.05,501.74,501.74,517.05,44915000
12/31/2009,494.77,502.84,494.77,504.84,70456000
12/30/2009,495.36,484.25,483.07,495.36,56437000
12/29/2009,484.45,487.56,483.76,493.67,71784000
12/28/2009,492.57,490.68,485.76,499.02,50081000
12/25/2009,495.08,487.92,487.19,495.76,53658000
12/24/2009,479.13,469.21,464.39,479.13,51977000
12/23/2009,470.75,464.13,463.33,471.35,41079000
12/22/2009,465.24,468.03,462.87,470.93,48113000
12/21/2009,460.99,457.08,452.55,460.99,35199000
12/18/2009,443.34,440.88,440.88,449.55,53777000
12/17/2009,434.87,432.42,427.06,436.41,39943000
12/16/2009,442.1,452.17,440.2,452.17,37042000
12/15/2009,459.44,458.44,454.84,463.42,29644000
12/14/2009,458.39,449.25,447.89,460.8,45702000
12/11/2009,444.16,450.6,442.61,452.52,39319000
12/10/2009,458.72,474.55,458.65,474.55,38058000
12/9/2009,470.63,473.31,468.4,474.58,46175000
12/8/2009,488.47,494.64,485.56,495.95,33726000
12/7/2009,498.61,495.43,491.56,498.61,27771000
12/4/2009,494.96,499.87,493.41,499.98,34841000
12/3/2009,494.8,494.61,485.59,502.14,42459000
12/2/2009,499.14,507.47,499.14,514.83,53487000
12/1/2009,514.92,513.42,512.15,518.32,43289000
11/30/2009,504.12,494.12,494.12,506.66,38531000
11/27/2009,490.62,464.72,461.48,503.13,68756000
11/26/2009,482.6,495.6,479.38,495.6,40270000
11/25/2009,503.41,519.74,503.24,519.74,66960000
11/24/2009,527.13,535.59,526.93,538.79,45876000
11/23/2009,537.29,551.92,537.29,553.4,50338000
11/20/2009,555.84,558.49,554.21,562.28,53204000
11/19/2009,560.05,556.72,553.1,562.64,62588000
11/18/2009,553.83,547.17,543.96,553.83,51773000
11/17/2009,547.08,549.18,543.61,550.13,50979000
11/16/2009,545.7,550.97,545.7,554.54,47989000
11/13/2009,548.21,540.64,536.9,549.22,48500000
11/12/2009,545.98,541.36,540.58,550.78,49998000
11/11/2009,537.59,526.29,523.05,537.59,43956000
11/10/2009,524.4,534.78,520,535.71,52487000
11/9/2009,534.09,544.91,534.09,547.28,47712000
11/6/2009,554.88,565.7,554.88,569.71,61061000
